"persid","cluster_id","household_id","participant_id","age_band","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"90416/1000",NA,90416,4249,"30-34 years","male",21,14906,"Work",94.9313201904297,94.9313201904297,"car",0.666666666666667,25.48,"weekday",1,"20 to 39",">10km","car",25.48,0.666666666666667,4.66666666666667,4.66666666666667
"90416/1000",NA,90416,4249,"30-34 years","male",21,14907,"Work",94.9313201904297,94.9313201904297,"car",1,25.33,"weekday",2,"20 to 39",">10km","car",25.33,1,7,7
"90416/1001",NA,90416,4250,"25-29 years","male",21,14908,"Work",80.8674468994141,80.8674468994141,"car",0.666666666666667,25.48,"weekday",1,"20 to 39",">10km","car",25.48,0.666666666666667,4.66666666666667,4.66666666666667
"90416/1001",NA,90416,4250,"25-29 years","male",21,14909,"Work",80.8674468994141,80.8674468994141,"car",1,25.33,"weekday",2,"20 to 39",">10km","car",25.33,1,7,7
"90417/1000",NA,90417,4251,"45-49 years","male",21,14910,"Work",131.999420166016,131.999420166016,"car",0.166666666666667,2.78,"weekday",1,"40 to 64","3-5km","car",2.78,0.166666666666667,1.16666666666667,1.16666666666667
"90417/1000",NA,90417,4251,"45-49 years","male",21,14911,"Work",131.999420166016,131.999420166016,"car",0.25,4.13,"weekday",2,"40 to 64","3-5km","car",4.13,0.25,1.75,1.75
"90417/1000",NA,90417,4251,"45-49 years","male",21,14912,"Leisure",131.999420166016,131.999420166016,"car",0.283333333333333,4,"weekday",3,"40 to 64","3-5km","car",4,0.283333333333333,1.98333333333333,1.98333333333333
"90417/1000",NA,90417,4251,"45-49 years","male",21,14913,"Leisure",131.999420166016,131.999420166016,"car",0.0833333333333333,4.12,"weekday",4,"40 to 64","3-5km","car",4.12,0.0833333333333333,0.583333333333333,0.583333333333333
"90420/1001",NA,90420,4252,"50-54 years","male",21,14914,"Shopping",76.2739486694336,76.2739486694336,"car",0.133333333333333,4.38,"weekday",1,"40 to 64","3-5km","car",4.38,0.133333333333333,0.933333333333333,0.933333333333333
"90420/1001",NA,90420,4252,"50-54 years","male",21,14915,"Shopping",76.2739486694336,76.2739486694336,"car",0.0833333333333333,2.57,"weekday",2,"40 to 64","3-5km","car",2.57,0.0833333333333333,0.583333333333333,0.583333333333333
